Position,Rotation,Annotation,Activation,Frame
(0 0 0),(0 0 0 1),,F,10
(0 0 0),(0 0 0 1),,F,20
(0 0 0),(0 0 0 1),,F,30
(0 0 0),(0 0 0 1),,F,40
(0 0 0),(0 0 0 1),,F,50
(0 0 0),(0 0 0 1),,F,60
(0 0 0),(0 0 0 1),,F,70
(0 0 0),(0 0 0 1),,F,80
(0 0 0),(0 0 0 1),,F,90
(0 0 0),(0 0 0 1),,F,100
(0 0 0),(0 0 0 1),,F,110
(0 0 0),(0 0 0 1),,F,120
(0 0 0),(0 0 0 1),,F,130
(0 0 0),(0 0 0 1),,F,140
(0 0 0),(0 0 0 1),,F,150
(0 0 0),(0 0 0 1),,F,160
(0 0 0),(0 0 0 1),,F,170
(0 0 0),(0 0 0 1),,F,180
(0 0 0),(0 0 0 1),,F,190
(0 0 0),(0 0 0 1),,F,200
(0 0 0),(0 0 0 1),,F,210
(0 0 0),(0 0 0 1),,F,220
(0 0 0),(0 0 0 1),,F,230
(0 0 0),(0 0 0 1),,F,240
(0 0 0),(0 0 0 1),,F,250
(0 0 0),(0 0 0 1),,F,260
(0 0 0),(0 0 0 1),,F,270
(0 0 0),(0 0 0 1),,F,280
(0 0 0),(0 0 0 1),,F,290
(0 0 0),(0 0 0 1),,F,300
(0 0 0),(0 0 0 1),,F,310
(0 0 0),(0 0 0 1),,F,320
(0 0 0),(0 0 0 1),,F,330
(0 0 0),(0 0 0 1),,F,340
(0 0 0),(0 0 0 1),,F,350
(0 0 0),(0 0 0 1),,F,360
(0 0 0),(0 0 0 1),,F,370
(0 0 0),(0 0 0 1),Cube appears,F,371
(0 0 0),(0 0 0 1),,F,380
(0 0 0),(0 0 0 1),,F,390
(0 0 0),(0 0 0 1),,F,400
(0 0 0),(0 0 0 1),,F,410
(0 0 0),(0 0 0 1),,F,420
(0 0 0),(0 0 0 1),,F,430
(0 0 0),(0 0 0 1),,F,440
(0 0 0),(0 0 0 1),,F,450
(0 0 0),(0 0 0 1),,F,460
(0 0 0),(0 0 0 1),,F,470
(0 0 0),(0 0 0 1),,F,480
(0 0 0),(0 0 0 1),,F,490
(0 0 0),(0 0 0 1),,F,500
(0 0 0),(0 0 0 1),,F,510
(0 0 0),(0 0 0 1),,F,520
(0 0 0),(0 0 0 1),,F,530
(0 0 0),(0 0 0 1),,F,540
(0 0 0),(0 0 0 1),,F,550
(0 0 0),(0 0 0 1),,F,560
(0 0 0),(0 0 0 1),,F,570
(0 0 0),(0 0 0 1),,F,580
(0 0 0),(0 0 0 1),,F,590
(0 0 0),(0 0 0 1),,F,600
(0 0 0),(0 0 0 1),,F,610
(0 0 0),(0 0 0 1),,F,620
(0 0 0),(0 0 0 1),,F,630
(0 0 0),(0 0 0 1),,F,640
(0 0 0),(0 0 0 1),,F,650
(0 0 0),(0 0 0 1),,F,660
(0 0 0),(0 0 0 1),,F,670
(0 0 0),(0 0 0 1),,F,680
(0 0 0),(0 0 0 1),,F,690
(0 0 0),(0 0 0 1),,F,700
(0 0 0),(0 0 0 1),,F,710
(0 0 0),(0 0 0 1),,F,720
(0 0 0),(0 0 0 1),,F,730
(0 0 0),(0 0 0 1),,F,740
(0 0 0),(0 0 0 1),,F,750
(0 0 0),(0 0 0 1),,F,760
(0 0 0),(0 0 0 1),,F,770
(0 0 0),(0 0 0 1),,F,780
(0 0 0),(0 0 0 1),,F,790
(0 0 0),(0 0 0 1),,F,800
(0 0 0),(0 0 0 1),,F,810
(0 0 0),(0 0 0 1),,F,820
(0 0 0),(0 0 0 1),,F,830
(0 0 0),(0 0 0 1),,F,840
(0 0 0),(0 0 0 1),,F,850
(0 0 0),(0 0 0 1),,F,860
(0 0 0),(0 0 0 1),,F,870
(0 0 0),(0 0 0 1),,F,880
(0 0 0),(0 0 0 1),,F,890
(0 0 0),(0 0 0 1),,F,900
(0 0 0),(0 0 0 1),,F,910
(0 0 0),(0 0 0 1),,F,920
(0 0 0),(0 0 0 1),,F,930
(0 0 0),(0 0 0 1),,F,940
(0 0 0),(0 0 0 1),,F,950
(0 0 0),(0 0 0 1),,F,960
(0 0 0),(0 0 0 1),,F,970
(0 0 0),(0 0 0 1),,F,980
(0 0 0),(0 0 0 1),,F,990
(0 0 0),(0 0 0 1),,F,1000
(0 0 0),(0 0 0 1),,F,1010
(0 0 0),(0 0 0 1),,F,1020
(0 0 0),(0 0 0 1),,F,1030
(0 0 0),(0 0 0 1),,F,1040
(0 0 0),(0 0 0 1),,F,1050
(0 0 0),(0 0 0 1),,F,1060
(0 0 0),(0 0 0 1),,F,1070
(0 0 0),(0 0 0 1),,F,1080
(0 0 0),(0 0 0 1),,T,1090
(0 0 0),(0 0 0 1),,T,1100
(0 0 0),(0 0 0 1),,T,1110
(0 0 0),(0 0 0 1),,T,1120
(0 0 0),(0 0 0 1),,T,1130
(0 0 0),(0 0 0 1),,T,1140
(0 0 0),(0 0 0 1),,T,1150
(0 0 0),(0 0 0 1),,T,1160
(0 0 0),(0 0 0 1),,T,1170
(0 0 0),(0 0 0 1),,T,1180
(0 0 0),(0 0 0 1),,T,1190
(0 0 0),(0 0 0 1),,T,1200
(0 0 0),(0 0 0 1),,T,1210
(0 0 0),(0 0 0 1),,T,1220
(0 0 0),(0 0 0 1),,T,1230
(0 0 0),(0 0 0 1),,T,1240
(0 0 0),(0 0 0 1),,T,1250
(0 0 0),(0 0 0 1),,T,1260
(0 0 0),(0 0 0 1),,T,1270
(0 0 0),(0 0 0 1),,T,1280
(0 0 0),(0 0 0 1),,T,1290
(0 0 0),(0 0 0 1),,T,1300
(0 0 0),(0 0 0 1),,T,1310
(0 0 0),(0 0 0 1),,T,1320
(0 0 0),(0 0 0 1),,T,1330
(0 0 0),(0 0 0 1),,T,1340
(0 0 0),(0 0 0 1),,T,1350
(0 0 0),(0 0 0 1),,T,1360
(0 0 0),(0 0 0 1),,T,1370
(0 0 0),(0 0 0 1),,T,1380
(0 0 0),(0 0 0 1),,T,1390
(0 0 0),(0 0 0 1),,T,1400
(0 0 0),(0 0 0 1),,T,1410
(0 0 0),(0 0 0 1),,T,1420
(0 0 0),(0 0 0 1),,T,1430
(0 0 0),(0 0 0 1),,T,1440
(0 0 0),(0 0 0 1),,T,1450
(0 0 0),(0 0 0 1),,T,1460
(0 0 0),(0 0 0 1),,T,1470
(0 0 0),(0 0 0 1),,T,1480
(0 0 0),(0 0 0 1),,T,1490
(0 0 0),(0 0 0 1),,T,1500
(0 0 0),(0 0 0 1),,T,1510
(0 0 0),(0 0 0 1),,T,1520
(0 0 0),(0 0 0 1),,T,1530
(0 0 0),(0 0 0 1),,T,1540
(0 0 0),(0 0 0 1),,T,1550
(0 0 0),(0 0 0 1),,T,1560
(0 0 0),(0 0 0 1),,T,1570
(0 0 0),(0 0 0 1),,T,1580
(0 0 0),(0 0 0 1),,T,1590
(0 0 0),(0 0 0 1),,T,1600
(0 0 0),(0 0 0 1),,T,1610
(0 0 0),(0 0 0 1),,T,1620
(0 0 0),(0 0 0 1),,T,1630
(0 0 0),(0 0 0 1),,T,1640
(0 0 0),(0 0 0 1),,T,1650
(0 0 0),(0 0 0 1),,T,1660
(0 0 0),(0 0 0 1),,T,1670
(0 0 0),(0 0 0 1),,T,1680
(0 0 0),(0 0 0 1),,T,1690
(0 0 0),(0 0 0 1),,T,1700
(0 0 0),(0 0 0 1),,T,1710
(0 0 0),(0 0 0 1),,T,1720
(0 0 0),(0 0 0 1),,T,1730
(0 0 0),(0 0 0 1),,T,1740
(0 0 0),(0 0 0 1),,T,1750
(0 0 0),(0 0 0 1),,T,1760
(0 0 0),(0 0 0 1),,T,1770
(0 0 0),(0 0 0 1),,T,1780
(0 0 0),(0 0 0 1),,T,1790
(0 0 0),(0 0 0 1),,T,1800
(0 0 0),(0 0 0 1),,T,1810
(0 0 0),(0 0 0 1),,T,1820
(0 0 0),(0 0 0 1),,T,1830
