Annotation,Time,Scale,Frame
,0,(1 1 1),1
,0.02,(1 1 1),2
,0.3533,(1 1 1),3
,0.3812,(1 1 1),4
,0.405,(1 1 1),5
,0.4301,(1 1 1),6
,0.4454,(1 1 1),7
,0.4496,(1 1 1),8
,0.4531,(1 1 1),9
,0.4557,(1 1 1),10
,0.4595,(1 1 1),11
,0.4641,(1 1 1),12
,0.4677,(1 1 1),13
,0.4703,(1 1 1),14
,0.4736,(1 1 1),15
,0.4764,(1 1 1),16
,0.4797,(1 1 1),17
,0.4829,(1 1 1),18
,0.486,(1 1 1),19
,0.4896,(1 1 1),20
,0.4927,(1 1 1),21
,0.4956,(1 1 1),22
,0.4987,(1 1 1),23
,0.5016,(1 1 1),24
,0.5049,(1 1 1),25
,0.5081,(1 1 1),26
,0.5118,(1 1 1),27
,0.516,(1 1 1),28
,0.5204,(1 1 1),29
,0.5245,(1 1 1),30
,0.5287,(1 1 1),31
,0.5321,(1 1 1),32
,0.5352,(1 1 1),33
,0.5384,(1 1 1),34
,0.5419,(1 1 1),35
,0.5456,(1 1 1),36
,0.5491,(1 1 1),37
,0.5536,(1 1 1),38
,0.5585,(1 1 1),39
,0.5622,(1 1 1),40
,0.5675,(1 1 1),41
,0.5708,(1 1 1),42
,0.5736,(1 1 1),43
,0.5765,(1 1 1),44
,0.5795,(1 1 1),45
,0.583,(1 1 1),46
,0.5857,(1 1 1),47
,0.5882,(1 1 1),48
,0.5906,(1 1 1),49
,0.5931,(1 1 1),50
,0.5955,(1 1 1),51
,0.5981,(1 1 1),52
,0.6006,(1 1 1),53
,0.6032,(1 1 1),54
,0.6057,(1 1 1),55
,0.6082,(1 1 1),56
,0.6106,(1 1 1),57
,0.6131,(1 1 1),58
,0.6163,(1 1 1),59
,0.6189,(1 1 1),60
,0.6217,(1 1 1),61
,0.6245,(1 1 1),62
,0.6271,(1 1 1),63
,0.6299,(1 1 1),64
,0.6326,(1 1 1),65
,0.6351,(1 1 1),66
,0.6375,(1 1 1),67
,0.6399,(1 1 1),68
,0.6423,(1 1 1),69
,0.6449,(1 1 1),70
,0.6476,(1 1 1),71
,0.6506,(1 1 1),72
,0.6532,(1 1 1),73
,0.6559,(1 1 1),74
,0.6585,(1 1 1),75
,0.6611,(1 1 1),76
,0.6648,(1 1 1),77
,0.6676,(1 1 1),78
,0.6701,(1 1 1),79
,0.6725,(1 1 1),80
,0.6754,(1 1 1),81
,0.6778,(1 1 1),82
,0.6804,(1 1 1),83
,0.6842,(1 1 1),84
,0.6872,(1 1 1),85
,0.6897,(1 1 1),86
,0.6922,(1 1 1),87
,0.6948,(1 1 1),88
,0.6973,(1 1 1),89
,0.7,(1 1 1),90
,0.7025,(1 1 1),91
,0.7052,(1 1 1),92
,0.7077,(1 1 1),93
,0.7101,(1 1 1),94
,0.7127,(1 1 1),95
,0.7154,(1 1 1),96
,0.7178,(1 1 1),97
,0.7211,(1 1 1),98
,0.7237,(1 1 1),99
,0.7262,(1 1 1),100
